,absolutely,adapter,advertised,alright,amazing,android,anker,anti,apple,apply,armor,attractive,audio,awesome,backup,bad,basic,batteries,battery,beat,beautiful,best,better,big,bit,black,blue,bluetooth,bought,box,broke,bubbles,built,bulk,bulky,buttons,buy,cable,cables,came,capacity,car,case,cases,cell,charge,charger,chargers,charges,charging,cheap,clear,color,colors,combo,comfortable,commuter,compact,convenient,cool,cord,cost,cover,covers,customer,cute,day,deal,decent,defender,described,design,designed,device,devices,did,didn,disappointed,dock,does,doesn,don,dont,dual,durable,ear,easily,easy,effective,exactly,excellent,expected,expensive,external,extra,fake,fantastic,far,fast,favorite,feel,feels,finally,fine,fit,fits,flip,functional,galaxy,genuine,gets,gift,glare,good,got,great,grip,hands,handy,happy,hard,hate,hd,headphones,headset,heavy,high,highly,holder,holster,horrible,htc,hybrid,idea,impressed,inexpensive,install,ipad,iphone,issues,item,job,junk,just,lg,life,light,like,little,long,look,looking,looks,lot,lots,love,loved,loves,low,mah,makes,market,matte,micro,mini,mirror,mobile,money,months,motorola,mount,need,needed,needs,new,nexus,nice,note,oem,ok,okay,ordered,original,otter,otterbox,outstanding,overall,owned,pack,pay,pen,perfect,perfectly,phone,phones,pink,plantronics,plastic,plug,poor,port,portable,ports,power,powerful,premium,pretty,price,problem,problems,product,products,protect,protection,protective,protector,protectors,protects,purchase,purchased,quality,quick,quickly,quite,read,real,really,recommend,recommended,reliable,replacement,review,right,rugged,samsung,satisfied,saver,says,scratches,screen,second,series,service,set,short,simple,size,sleek,slim,slippery,small,solid,solution,sound,spigen,star,stars,strong,sturdy,style,stylish,stylus,super,sure,tablet,tech,terrible,thing,thought,time,touch,tough,travel,trent,tried,usb,use,used,useful,using,value,ve,wall,want,wanted,waste,way,white,wife,wireless,wonderful,work,worked,working,works,worth,wow,wrong,year,yes
10,0,0,0,2,0,0,0,5,2,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,5,15,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,1,1,0,0,0,0,0,2,1,0,1,1,2,0,0,8,0,0,0,0,0,0,1,0,0,11,0,0,1,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,7,0,0,1,0,12,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0
11,0,0,1,0,2,0,0,0,0,0,0,0,0,5,2,0,0,1,22,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,16,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,3,0,0,2,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,20,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,2,0,0,6,2,0,0,0,2,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,1,0,0,0,0,1,0,4,0,10,2,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,1,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5,6,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,4,0,0,4,0,0,0,0,1,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,2,1,0,0,0,0,4,1,5,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,11,0,19,0,2,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,4,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0
13,1,1,3,0,1,0,0,0,0,0,0,0,0,0,12,6,0,1,18,1,0,0,4,0,1,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,1,0,0,0,0,16,12,0,1,1,11,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,4,1,0,0,9,5,3,3,0,0,0,0,0,0,1,4,0,0,0,1,0,1,2,2,0,0,0,0,3,0,0,0,1,0,0,2,1,0,18,2,32,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,20,0,2,2,4,2,0,1,1,4,4,2,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,0,6,0,0,6,5,0,0,0,0,0,0,0,2,4,0,2,0,5,0,0,0,0,1,4,0,3,0,9,1,0,3,4,1,1,11,0,0,0,0,0,0,0,1,0,4,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,2,1,3,1,1,0,0,0,0,5,1,0,0,2,1,17,12,2,19,1,0,0,0,0
14,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,3,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,4,2,1,0,0,1,0,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,3,0,1,0,0,18,0,23,1,1,2,0,0,0,0,0,0,1,0,0,7,0,0,2,0,1,0,1,1,0,4,1,2,1,0,1,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,3,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,0,1,0
15,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,5,1,3,0,0,0,0,1,4,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,2,11,1,0,0,0,0,0,0,0,11,1,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,2,1,3,0,0,0,5,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,2,3,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,2,0,9,8,2,3,0,2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,20,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,0,6,0,0
16,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,14,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,1,0,1,1,2,0,0,1,7,0,0,1,1,1,0,0,14,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1
17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,13,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,2,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,6,1,16,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,0,1,1,1,1,0,1,0,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,3,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,1,1,0,1,4,0,0,0,7,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,20,0,0,1,0,0
18,0,0,1,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,16,1,0,1,1,33,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,23,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,0,1,0,1,1,0,0,1,5,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,6,0,0,7,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2,4,1,26,2,0,0,0,1
19,0,0,0,1,0,0,0,0,12,0,0,0,0,4,1,0,0,0,1,1,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,17,3,0,0,0,0,0,1,6,6,0,3,4,3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,1,1,0,2,0,0,1,0,1,2,1,0,0,10,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,15,1,18,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,21,0,0,0,1,3,0,0,0,2,1,27,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,1,4,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,5,0,0,0,0,0,0,0,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,3,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0,9,1,3,20,0,0,0,0,0
